Date,price_max,price_min,price_mean,price_std,price_gap,coeff_var
2017-02-22,125.89,20.38,64.58888888888889,34.45749063862763,105.51,0.533489447355322
2017-02-23,123.14,17.41,63.28,34.2772409916551,105.73,0.541675742598848
2017-02-24,123.18,18.03,64.89,33.96679591895592,105.15,0.5234519327932796
2017-02-27,122.54,21.84,64.94222222222223,33.941596448081874,100.7,0.5226429784299494
2017-02-28,125.87,21.8,65.79,34.29656032315777,104.07000000000001,0.5213035464836262
2017-03-01,108.81,26.55,66.69111111111111,27.892984084014948,82.26,0.4182414060779956
2017-03-02,107.8,26.86,66.56666666666666,26.869005843164345,80.94,0.40364054847017045
2017-03-03,106.29,24.47,65.85777777777778,27.26754195824121,81.82000000000001,0.4140367755840378
2017-03-06,110.15,28.39,67.40777777777777,27.22167278923991,81.76,0.40383578403936116
2017-03-07,107.07,24.9,66.39777777777778,27.68349678860032,82.16999999999999,0.41693408597577375
2017-03-08,106.12,25.06,66.46,27.409145371572603,81.06,0.4124156691479477
2017-03-09,107.32,24.23,66.01777777777778,27.59265653112154,83.08999999999999,0.4179579722298604
2017-03-10,106.14,27.99,67.16888888888889,27.10906879830274,78.15,0.40359561169973646
2017-03-13,107.57,27.06,66.40444444444444,27.14789637850008,80.50999999999999,0.40882649656398623
2017-03-14,109.19,24.19,66.82,28.486255896484543,85.0,0.4263133178162907
2017-03-15,106.23,24.51,66.39222222222222,28.218178439517395,81.72,0.42502235194158716
2017-03-16,106.92,28.94,67.52444444444444,27.097215314083073,77.98,0.40129490197253287
2017-03-17,109.8,28.11,66.45555555555556,28.441487351715235,81.69,0.42797757258892677
2017-03-20,106.58,24.52,66.48444444444445,28.116538332052507,82.06,0.42290401261526933
2017-03-21,107.84,24.82,66.95333333333333,28.24340498240253,83.02000000000001,0.4218371748840366
2017-03-22,106.81,27.56,66.65,27.500832714665204,79.25,0.4126156446311358
2017-03-23,109.01,27.39,66.41555555555556,27.947576420465833,81.62,0.42079865457254406
2017-03-24,106.74,26.24,66.5611111111111,27.59751639389152,80.5,0.41461922635009385
2017-03-27,106.46,24.17,66.26444444444445,27.99481876665355,82.28999999999999,0.4224711910189509
2017-03-28,109.33,24.44,66.0988888888889,28.731139659106997,84.89,0.43466902609215646
2017-03-29,106.81,25.79,67.06333333333333,27.74821570840186,81.02000000000001,0.4137613555604433
2017-03-30,107.17,25.59,67.09777777777778,27.528759406199995,81.58,0.4102782583556335
2017-03-31,110.43,28.29,66.52555555555556,27.757821019989628,82.14000000000001,0.4172504955153519
2017-04-03,98.47,26.82,63.913333333333334,23.813453130531066,71.65,0.3725897537894711
2017-04-04,97.49,27.48,63.83888888888888,23.820808363930706,70.00999999999999,0.373139457445612
2017-04-05,99.11,28.76,64.41111111111111,22.99276323348525,70.35,0.3569688961555412
2017-04-07,100.74,28.99,63.876666666666665,24.34466163248116,71.75,0.38111978759820214
2017-04-10,99.53,26.5,64.34222222222223,23.980523752504745,73.03,0.3727027591568396
2017-04-11,97.91,25.04,63.478888888888896,24.342278264597812,72.87,0.38347045278636865
2017-04-12,100.55,28.33,64.97,23.261444495129705,72.22,0.35803362313575043
2017-04-13,99.08,24.52,64.6511111111111,24.542681416485678,74.56,0.3796173181665196
2017-04-14,98.14,26.06,63.78222222222222,23.54319157303114,72.08,0.36911839620458553
2017-04-17,99.58,28.88,64.11444444444444,23.58017764517006,70.7,0.36778260888780573
2017-04-18,99.36,25.09,63.599999999999994,23.93484280290973,74.27,0.3763340063350587
2017-04-19,97.86,24.79,63.46555555555556,24.081778957912924,73.07,0.37944643747477425
2017-04-20,96.19,26.34,63.857777777777784,23.586496018791017,69.85,0.3693597998488292
2017-04-21,100.21,27.23,64.91555555555556,24.584803289385444,72.97999999999999,0.3787197549028978
2017-04-24,99.25,25.68,64.24777777777778,24.006941588724796,73.57,0.37366182020739697
2017-04-25,96.45,26.89,63.68222222222222,23.76936619778585,69.56,0.37324963495842667
2017-04-26,97.57,28.91,63.57888888888889,22.97379944874402,68.66,0.36134320448558427
2017-04-27,100.84,26.64,63.6888888888889,24.128197945787647,74.2,0.37884469907901047
2017-04-28,99.38,26.14,64.44777777777777,24.142127483808146,73.24,0.37459984372234767
2017-05-03,109.12,14.57,60.04,28.09723340473222,94.55000000000001,0.46797523991892437
2017-05-04,110.92,12.22,60.657777777777774,28.945503872699195,98.7,0.47719360868679067
2017-05-05,110.85,13.08,60.23555555555556,28.67390848450517,97.77,0.47602961772402147
2017-05-08,109.85,12.55,60.32,28.671951886817887,97.3,0.47533076735440793
